id,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
15,583.0,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.542163836,0.466492143,37.7247238,6539.11085
16,287.0,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.538371386,0.463982188,37.23938598,6394.07791
17,345.0,12.5,0.25,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.583697575,0.490020262,40.36001849,7122.49056
18,42.0,37.5,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.363981224,0.388860282,29.08514833,3631.90544
19,212.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.600340952,0.496358614,41.54582317,7570.60862
20,90.0,12.5,0.25,0.25,0.25,0.38,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.523070143,0.461179325,37.90850822,6131.30938
21,521.0,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.480072982,0.424728104,34.05729766,5439.4215
22,659.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.483671436,0.44252903,35.64822051,5524.14541
23,55.0,25.0,0.25,0.25,0.25,0.38,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.350992769,0.388525442,28.88711983,3436.49354
24,672.0,25.0,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.509933842,0.41951938,35.50564628,6019.26248
25,264.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.585313688,0.486003684,40.57450377,7357.3589
26,270.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.572046486,0.484307576,39.98873363,7064.16978
27,764.0,25.0,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.372318474,0.399556226,29.80324762,3828.16556
28,559.0,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.46082121,0.432754792,33.53267475,5454.63385
29,629.0,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.498696418,0.447536765,36.09379556,6274.93484
30,661.0,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.442869304,0.433844688,33.28480863,5042.64034
31,303.0,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.582604099,0.485099788,40.2744187,7303.58812
32,332.0,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.597060641,0.498475898,41.33632715,7541.6674
33,151.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.458581988,0.423988312,33.29902167,5453.99382
34,437.0,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.603524723,0.50404651,42.16770498,8621.81568
35,584.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.496019026,0.445308404,35.57209886,5009.96222
36,643.0,25.0,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.484089347,0.424311942,34.89995717,5637.9843
37,350.0,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.496636394,0.448946243,35.18597077,5501.87808
38,714.0,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.546259537,0.468763134,38.84880688,6852.97971
39,657.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.535364693,0.447536765,37.96686445,6821.8081
40,211.0,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.561190143,0.471871207,38.6454264,7159.33666
41,532.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.470881648,0.419851618,33.221987,5498.46022
42,707.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.542163836,0.468039601,40.63849594,6862.90839
43,6.0,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.408797854,0.396533319,31.36831014,4336.10096
44,733.0,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.346410766,0.38126925,28.80786754,3447.0821
45,741.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.58492102,0.488005014,41.71941614,7230.1325
46,23.0,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.361519212,0.367762987,29.28433587,3748.46547
47,753.0,25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.561190143,0.484791782,39.64669117,7041.38018
48,431.0,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.538550337,0.463020067,37.7247238,5781.85965
49,613.0,25.0,0.5,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.427977027,0.417915449,33.23980604,4930.61903
50,253.0,12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.561296524,0.460180133,39.06314597,6960.10751
51,658.0,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.527399614,0.471871207,38.38301202,7175.06898
52,284.0,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.559094277,0.477126551,39.33251373,6948.2288
53,457.0,12.5,0.25,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.469925759,0.431122059,32.9240208,5462.13394
54,441.0,25.0,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.447853006,0.395435754,31.64262219,5046.45734
55,710.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.494906594,0.449545727,35.55891105,5601.20531
56,252.0,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.520587192,0.418732102,35.18597077,6255.89064
57,552.0,25.0,0.5,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.520587192,0.460796109,37.80745277,6263.80788
58,710.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.5143032,0.458966196,37.96058614,6998.37875
59,17.0,37.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.363726236,0.389814772,29.52823594,3723.52338
60,150.0,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.532704207,0.444146829,35.47352652,6735.24371
61,489.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.62818447,0.514873193,44.59947057,8489.69192
62,267.0,12.5,0.25,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.595065655,0.498218761,41.28624094,7829.514
63,515.0,25.0,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.488308859,0.438630573,34.33876109,5931.7528
64,695.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.394441163,0.402728888,31.86773783,3948.98691
65,473.0,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.393394771,0.393418576,29.64786104,3900.34404
66,561.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.410652063,0.403128905,32.84923819,4580.393
67,137.0,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.55135975,0.476928353,38.6454264,6626.50685
68,230.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.582604099,0.498055536,41.71941614,7560.20565
69,548.0,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.40030353,0.40030353,30.68026439,4576.10071
70,744.0,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.567958657,0.487056813,39.09688443,8212.79289
71,90.0,12.5,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.543972464,0.468493268,37.52274536,6998.37875
72,552.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.496019026,0.445497348,35.55511529,5538.91301
73,331.0,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.50831235,0.452484359,36.35683231,4966.77945
74,618.0,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.479965751,0.418732102,33.55926075,5548.12201
75,557.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.483671436,0.428118259,34.68201491,5531.35174
76,456.0,25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.434546355,0.401397435,32.69048728,4476.81146
77,703.0,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.531583632,0.440241496,36.6742427,7184.01384
78,196.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.530112463,0.462760521,38.65527495,6779.98166
79,454.0,25.0,0.5,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.350874635,0.386415506,29.55801912,3511.5379
80,149.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.510668562,0.452320672,36.31114278,6102.76282
81,348.0,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.531891546,0.463558518,37.97024343,6626.8515
82,392.0,12.5,0.25,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.509001253,0.453558339,36.98857322,6292.42962
83,599.0,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.4693892,0.415270878,33.87425241,5569.13925
84,489.0,25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.434546355,0.415160646,33.48611213,4641.00151
85,408.0,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.578556842,0.482227496,40.17821466,7761.15796
86,290.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.482854142,0.443754909,35.48700839,5503.09583
87,511.0,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.565324698,0.474952374,38.63984283,6731.61844
88,717.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.480072982,0.419851618,33.23980604,5663.06579
89,256.0,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.578556842,0.48648622,40.17821466,7080.04004
90,164.0,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.620391949,0.503663416,42.40950749,8254.12654
91,719.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.46751899,0.435203234,34.13758465,5367.61826
92,197.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.582954458,0.485752533,40.16166766,7400.77538
93,165.0,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.48180056,0.419851618,33.84707944,5647.71226
94,337.0,12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.511413154,0.431946288,35.37114225,6564.9583
95,35.0,12.5,0.25,0.25,0.25,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.508296527,0.451036893,36.34178123,5920.48718
96,159.0,12.5,0.25,0.25,0.38,0.38,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.376009787,0.391211231,30.27510191,4203.02762
97,705.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.437609121,0.426679269,33.31223192,4740.01505
98,597.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.450822025,0.420598245,35.82485206,5313.37828
99,188.0,12.5,0.25,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.601353783,0.491124144,41.72079694,8969.40184
100,153.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.404446048,0.401091418,30.90686128,4200.97375
101,149.0,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.578556842,0.486889324,40.57450377,7963.93931
102,137.0,12.5,0.25,0.25,0.38,0.25,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.566350244,0.466492143,39.07173864,6594.0446
103,23.0,25.0,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.401490054,0.408038131,30.79374092,4200.97375
104,742.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.546275069,0.459224426,36.3863589,6960.10751
105,659.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.424574228,0.411271911,33.26713681,4924.35736
106,383.0,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.601357636,0.498282106,41.73066669,7858.68558
107,733.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.575589557,0.444587916,39.77772061,7243.22611
108,589.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.48180056,0.428118259,33.4416065,5429.68161
109,66.0,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.496019026,0.445284233,35.48700839,6361.48951
110,541.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.334593591,0.379871916,29.83441738,3502.08292
111,437.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.425493214,0.43491928,33.29656697,4966.77945
112,566.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.429580755,0.419747673,31.39456852,4905.49871
113,366.0,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.458581988,0.402226397,32.60317761,5830.48855
114,289.0,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.546174929,0.454917386,36.36293728,6770.23332
115,730.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.54054056,0.449239458,36.88084855,7416.70776
116,724.0,25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.547283352,0.48335599,39.77346165,7048.87072
117,284.0,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.476202171,0.438669933,34.33876109,5556.37228
118,101.0,12.5,0.25,0.25,0.25,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.505120461,0.450498441,36.95787336,6671.07264
119,564.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.583378727,0.482874674,40.16166766,7897.9319
120,35.0,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.320417393,0.372238285,27.62154773,3182.69865
121,599.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.529163709,0.45230956,36.36293728,6799.72918
122,634.0,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.566319234,0.476836137,35.55753695,6524.29532
123,683.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.497503209,0.449871489,35.20741312,5945.89951
124,230.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.498696418,0.447536765,35.71826335,5954.51315
125,384.0,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.583697575,0.482227496,40.0282126,7428.83442
126,139.0,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.572046486,0.480106144,40.56148952,7298.0026
127,626.0,25.0,0.5,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.429210588,0.406869398,31.87518207,4936.36477
128,284.0,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.572046486,0.48335599,39.04659266,6880.7759
129,636.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.582604099,0.48651762,40.16166766,7222.00462
130,651.0,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.496618271,0.447536765,36.09379556,6013.40759
131,399.0,12.5,0.25,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.585313688,0.488638858,40.73826603,7297.7321
132,89.0,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.572046486,0.486816771,39.28816181,6643.9019
133,469.0,25.0,0.5,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.433014308,0.460627726,32.79766623,4737.63925
134,316.0,12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.566319234,0.463020067,39.2557857,6749.51819
135,471.0,25.0,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.429210588,0.394461774,31.02327724,4673.38052
136,589.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.479826829,0.433195442,34.15934595,5739.92493
137,600.0,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.473142233,0.439040667,34.0430221,5453.99382
138,327.0,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.507541905,0.43491928,35.11807556,6251.61184
139,295.0,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.470643424,0.42018755,32.21562101,5794.89185
140,300.0,12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.582482579,0.485791513,40.22738685,7184.01384
141,383.0,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.556301788,0.471125278,39.4849869,6979.32479
142,347.0,12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.587319779,0.492641907,41.2557857,7406.90248
143,479.0,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.392540298,0.395435754,30.57755786,4056.83427
144,155.0,12.5,0.25,0.25,0.38,0.38,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.548367299,0.476308423,37.78237359,6677.62443
145,757.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.601357636,0.498585597,41.78031158,7041.38018
146,727.0,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.534251703,0.469892556,37.90850822,7022.18973
147,8.0,37.5,0.75,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.376009787,0.395435754,30.79374092,4245.28573
148,776.0,20.0,0.537,0.117,0.409,0.058,86.0,52.0,71.9,62.0,30.0,50.8,3.77,0.06,0.611725787,0.508018854,43.00334146,7778.34916
149,611.0,25.0,0.5,0.25,0.75,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.531583632,0.463275619,37.32322478,6638.65649
150,207.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.487075422,0.411590845,33.87425241,5632.45917
151,255.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.56581933,0.465065287,38.34178123,6749.51819
152,535.0,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.574708327,0.485989695,40.41794736,7317.95104
153,52.0,12.5,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.320564713,0.379871916,27.62154773,3238.02815
154,239.0,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.574796304,0.486889324,40.33534199,7080.04004
155,124.0,12.5,0.25,0.25,0.25,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.596551315,0.490467439,41.05919357,7835.76779
156,552.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.444908279,0.416309732,32.66436708,4813.45285
157,424.0,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.582604099,0.484307576,40.28237595,7152.13259
158,91.0,12.5,0.25,0.25,0.25,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.531891546,0.465807165,37.78237359,6263.80788
159,561.0,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.626280739,0.516063505,43.97470322,8247.52116
160,466.0,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.599023157,0.436258462,36.55432716,6400.02221
161,759.0,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.528899809,0.46389552,37.62889677,6687.25926
162,594.0,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.470593127,0.437062839,33.44212024,5016.74159
163,354.0,12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.585313688,0.498055536,40.65549833,7479.93417
164,559.0,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.404446048,0.409760795,31.39456852,4247.50893
165,266.0,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.582954458,0.485791513,40.35118636,6801.49205
166,9.0,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.447115975,0.425245072,33.3406292,4480.07
